"station_name","site_type","status","confidence","address","state","longitude","latitude","network","ccs1_ports","ccs1_power_per_port","nacs_ports","nacs_power_per_port","charger_count","open_24_7","last_updated","NEVI_creditable","PlugShare_link","AFC","data_source"
"Steak 'n Shake - Tesla Supercharger","","Existing","","2819 Wilma Rudolph Blvd","TN",-87.290841,36.589756,"Tesla","","","","","8","","2025-09-12","N","","N","Other_DCFC"
"Food City - Tesla Supercharger","","Existing","","1000 Ladd Landing Blvd","TN",-84.494978,35.885242,"Tesla","","","","","16","","2025-09-12","N","","N","Other_DCFC"
"Target - Tesla Supercharger","","Existing","","8040 Ray Mears Blvd","TN",-84.048837,35.922097,"Tesla","","","","","16","","2025-10-13","N","","N","Other_DCFC"
"CH NISSAN NISSAN EV 1","","Existing","","465 Vann Dr","TN",-88.842942,35.667974,"ChargePoint Network","","","","","1","","2026-04-01","N","","N","Other_DCFC"
"CH NISSAN NISSAN EV 2","","Existing","","495 Vann Dr","TN",-88.843033,35.668067,"ChargePoint Network","","","","","1","","2026-04-01","N","","N","Other_DCFC"
"Ted Russell Ford - Kingston Pike - DCFC","","Existing","","8551 Kingston Pike","TN",-84.0659255815802,35.9214370090539,"Blink Network","","","","","2","","2026-04-01","N","","N","Other_DCFC"
"Ted Russell Ford - Kingston Pike - Private DCFC","","Existing","","8551 Kingston Pike","TN",-84.0667285252324,35.921734731496,"Blink Network","","","","","2","","2026-04-01","N","","N","Other_DCFC"
"MBORO HYU HYD L3 A FRONT","","Existing","","1625 South Church Street","TN",-86.394284,35.823671,"ChargePoint Network","","","","","1","","2026-04-01","N","","N","Other_DCFC"
"CHTOYOTA PL3 CL3","","Existing","","4601 Hutton Way","TN",-90.005479,35.022586,"ChargePoint Network","","","","","2","","2026-04-01","N","","N","Other_DCFC"
"CHTOYOTA PL1 CL1","","Existing","","4601 Hutton Way","TN",-90.005642,35.022466,"ChargePoint Network","","","","","2","","2026-04-01","N","","N","Other_DCFC"
"CHTOYOTA PL6 CL6","","Existing","","4601 Hutton Way","TN",-90.005134,35.022747,"ChargePoint Network","","","","","2","","2026-04-01","N","","N","Other_DCFC"
"CHTOYOTA PL5 CL5","","Existing","","4601 Hutton Way","TN",-90.005238,35.022711,"ChargePoint Network","","","","","2","","2026-04-01","N","","N","Other_DCFC"
"CHTOYOTA PL2 CL2","","Existing","","4601 Hutton Way","TN",-90.005562,35.0225,"ChargePoint Network","","","","","2","","2026-04-01","N","","N","Other_DCFC"
"CHTOYOTA PL4 CL4","","Existing","","4601 Hutton Way","TN",-90.00535,35.022593,"ChargePoint Network","","","","","2","","2026-04-01","N","","N","Other_DCFC"
"Andrews Cadillac Company (CTX)","","Existing","","1 Cadillac Drive","TN",-86.796031488533,36.0370002926296,"Blink Network","","","","","2","","2026-04-01","N","","N","Other_DCFC"
"Food City - Tesla Supercharger","","Existing","","2120 S Roan St","TN",-82.337197,36.302392,"Tesla","","","","","8","","2026-02-13","N","","N","Other_DCFC"
"Cracker Barrel - Tesla Supercharger","","Existing","","3454 Percy Priest Dr","TN",-86.627148,36.154283,"Tesla","","","","","8","","","N","","N","Other_DCFC"
"LOCAL MARKET LOCAL #107 DC2","","Existing","","474 Callahan Drive","TN",-83.999435,36.023468,"ChargePoint Network","","","","","1","","2026-04-01","N","","N","Other_DCFC"
"LOCAL MARKET LOCAL #107 DC1","","Existing","","474 Callahan Drive","TN",-83.999301,36.023373,"ChargePoint Network","","","","","1","","2026-04-01","N","","N","Other_DCFC"
"The Mall at Green Hills - Gold Garage","","Existing","","2126 Abbott Martin Rd","TN",-86.8179458862658,36.1077711981692,"eVgo Network","","","","","3","","","N","","N","Other_DCFC"
"The Mall at Green Hills - Ruby Garage","","Existing","","2126 Abbott Martin Rd","TN",-86.8145635302171,36.1063645131723,"Electrify America","","","","","8","","","N","","N","Other_DCFC"
